sys_call,i386_name,x86_64_name,preferred_name,preferred_arch,preferred_family
0,restart_syscall,read,restart_syscall,i386_default,other
1,exit,write,exit,i386_default,process_thread
3,read,close,read,i386_default,file_io_fs
4,write,stat,write,i386_default,file_io_fs
5,open,fstat,open,i386_default,file_io_fs
6,close,lstat,close,i386_default,file_io_fs
7,waitpid,poll,waitpid,i386_default,process_thread
9,link,mmap,link,i386_default,file_io_fs
10,unlink,mprotect,unlink,i386_default,file_io_fs
11,execve,munmap,execve,i386_default,process_thread
12,chdir,brk,chdir,i386_default,file_io_fs
13,time,rt_sigaction,time,i386_default,other
19,lseek,readv,lseek,i386_default,file_io_fs
20,getpid,writev,getpid,i386_default,process_thread
26,ptrace,msync,ptrace,i386_default,other
27,alarm,mincore,alarm,i386_default,other
33,access,dup2,access,i386_default,permissions_identity
37,kill,alarm,kill,i386_default,process_thread
38,rename,setitimer,rename,i386_default,file_io_fs
39,mkdir,getpid,mkdir,i386_default,file_io_fs
40,rmdir,sendfile,rmdir,i386_default,file_io_fs
41,dup,socket,dup,i386_default,file_io_fs
42,pipe,connect,pipe,i386_default,signal_ipc
45,brk,recvfrom,brk,i386_default,memory
54,ioctl,setsockopt,ioctl,i386_default,file_io_fs
57,setpgid,fork,setpgid,i386_default,process_thread
60,umask,exit,umask,i386_default,permissions_identity
63,dup2,uname,dup2,i386_default,file_io_fs
64,getppid,semget,getppid,i386_default,process_thread
66,setsid,semctl,setsid,i386_default,process_thread
78,gettimeofday,getdents,gettimeofday,i386_default,time_timer
85,readlink,creat,readlink,i386_default,file_io_fs
91,munmap,fchmod,munmap,i386_default,memory
93,ftruncate,fchown,ftruncate,i386_default,file_io_fs
94,fchmod,lchown,fchmod,i386_default,permissions_identity
96,getpriority,gettimeofday,getpriority,i386_default,other
97,setpriority,getrlimit,setpriority,i386_default,other
99,statfs,sysinfo,statfs,i386_default,file_io_fs
102,socketcall,getuid,socketcall,i386_default,network_socket
104,setitimer,getgid,setitimer,i386_default,time_timer
114,wait4,setregid,wait4,i386_default,process_thread
117,ipc,setresuid,ipc,i386_default,other
118,fsync,getresuid,fsync,i386_default,file_io_fs
119,sigreturn,setresgid,sigreturn,i386_default,signal_ipc
120,clone,getresgid,clone,i386_default,process_thread
122,uname,setfsuid,uname,i386_default,other
125,mprotect,capget,mprotect,i386_default,memory
132,getpgid,utime,getpgid,i386_default,process_thread
133,fchdir,mknod,fchdir,i386_default,file_io_fs
140,_llseek,getpriority,_llseek,i386_default,other
141,getdents,setpriority,getdents,i386_default,file_io_fs
142,_newselect,sched_setparam,_newselect,i386_default,file_io_fs
144,msync,sched_setscheduler,msync,i386_default,memory
146,writev,sched_get_priority_max,writev,i386_default,file_io_fs
150,mlock,munlock,mlock,i386_default,memory
156,sched_setscheduler,_sysctl,sched_setscheduler,i386_default,process_thread
162,nanosleep,sync,nanosleep,i386_default,time_timer
163,mremap,acct,mremap,i386_default,memory
168,poll,swapoff,poll,i386_default,file_io_fs
172,prctl,iopl,prctl,i386_default,process_thread
173,rt_sigreturn,ioperm,rt_sigreturn,i386_default,signal_ipc
174,rt_sigaction,create_module,rt_sigaction,i386_default,signal_ipc
175,rt_sigprocmask,init_module,rt_sigprocmask,i386_default,signal_ipc
179,rt_sigsuspend,quotactl,rt_sigsuspend,i386_default,signal_ipc
180,pread64,nfsservctl,pread64,i386_default,file_io_fs
181,pwrite64,getpmsg,pwrite64,i386_default,file_io_fs
183,getcwd,afs_syscall,getcwd,i386_default,file_io_fs
184,capget,tuxcall,capget,i386_default,permissions_identity
185,capset,security,capset,i386_default,permissions_identity
186,sigaltstack,gettid,sigaltstack,i386_default,signal_ipc
191,ugetrlimit,getxattr,ugetrlimit,i386_default,other
192,mmap2,lgetxattr,mmap2,i386_default,memory
194,ftruncate64,listxattr,ftruncate64,i386_default,file_io_fs
195,stat64,llistxattr,stat64,i386_default,file_io_fs
196,lstat64,flistxattr,lstat64,i386_default,file_io_fs
197,fstat64,removexattr,fstat64,i386_default,file_io_fs
199,getuid32,fremovexattr,getuid32,i386_default,permissions_identity
200,getgid32,tkill,getgid32,i386_default,permissions_identity
201,geteuid32,time,geteuid32,i386_default,permissions_identity
202,getegid32,futex,getegid32,i386_default,permissions_identity
203,setreuid32,sched_setaffinity,setreuid32,i386_default,permissions_identity
204,setregid32,sched_getaffinity,setregid32,i386_default,permissions_identity
206,setgroups32,io_setup,setgroups32,i386_default,other
207,fchown32,io_destroy,fchown32,i386_default,permissions_identity
209,getresuid32,io_submit,getresuid32,i386_default,permissions_identity
211,getresgid32,get_thread_area,getresgid32,i386_default,permissions_identity
213,setuid32,epoll_create,setuid32,i386_default,permissions_identity
214,setgid32,epoll_ctl_old,setgid32,i386_default,permissions_identity
219,madvise,restart_syscall,madvise,i386_default,memory
220,getdents64,semtimedop,getdents64,i386_default,file_io_fs
221,fcntl64,fadvise64,fcntl64,i386_default,file_io_fs
224,gettid,timer_gettime,gettid,i386_default,process_thread
240,futex,mq_open,futex,i386_default,signal_ipc
243,set_thread_area,mq_timedreceive,set_thread_area,i386_default,other
252,exit_group,ioprio_get,exit_group,i386_default,process_thread
255,epoll_ctl,inotify_rm_watch,epoll_ctl,i386_default,network_socket
256,epoll_wait,migrate_pages,epoll_wait,i386_default,network_socket
258,set_tid_address,mkdirat,set_tid_address,i386_default,other
265,clock_gettime,linkat,clock_gettime,i386_default,time_timer
268,statfs64,fchmodat,statfs64,i386_default,file_io_fs
269,fstatfs64,faccessat,fstatfs64,i386_default,file_io_fs
270,tgkill,pselect6,tgkill,i386_default,other
271,utimes,ppoll,utimes,i386_default,time_timer
272,fadvise64_64,unshare,fadvise64_64,i386_default,other
284,waitid,eventfd,waitid,i386_default,process_thread
289,ioprio_set,signalfd4,ioprio_set,i386_default,other
292,inotify_add_watch,dup3,inotify_add_watch,i386_default,file_io_fs
293,inotify_rm_watch,pipe2,inotify_rm_watch,i386_default,file_io_fs
295,openat,preadv,openat,i386_default,file_io_fs
300,fstatat64,fanotify_init,fstatat64,i386_default,file_io_fs
301,unlinkat,fanotify_mark,unlinkat,i386_default,file_io_fs
306,fchmodat,syncfs,fchmodat,i386_default,permissions_identity
307,faccessat,sendmmsg,faccessat,i386_default,file_io_fs
308,pselect6,setns,pselect6,i386_default,other
309,ppoll,getcpu,ppoll,i386_default,other
311,set_robust_list,process_vm_writev,set_robust_list,i386_default,other
320,utimensat,,utimensat,i386_default,time_timer
324,fallocate,,fallocate,i386_default,file_io_fs
328,eventfd2,,eventfd2,i386_default,signal_ipc
331,pipe2,,pipe2,i386_default,signal_ipc
340,prlimit64,,prlimit64,i386_default,process_thread
345,sendmmsg,,sendmmsg,i386_default,network_socket
