sys_call,x86_64_name,i386_name,chosen_name,chosen_arch,mapping_status,syscall_family
0,read,restart_syscall,read,x86_64_default,x86_64_default,file_io_fs
1,write,exit,write,x86_64_default,x86_64_default,file_io_fs
3,close,read,close,x86_64_default,x86_64_default,file_io_fs
4,stat,write,stat,x86_64_default,x86_64_default,file_io_fs
5,fstat,open,fstat,x86_64_default,x86_64_default,file_io_fs
6,lstat,close,lstat,x86_64_default,x86_64_default,file_io_fs
7,poll,waitpid,poll,x86_64_default,x86_64_default,file_io_fs
9,mmap,link,mmap,x86_64_default,x86_64_default,memory
10,mprotect,unlink,mprotect,x86_64_default,x86_64_default,memory
11,munmap,execve,munmap,x86_64_default,x86_64_default,memory
12,brk,chdir,brk,x86_64_default,x86_64_default,memory
13,rt_sigaction,time,rt_sigaction,x86_64_default,x86_64_default,signal_ipc
19,readv,lseek,readv,x86_64_default,x86_64_default,file_io_fs
20,writev,getpid,writev,x86_64_default,x86_64_default,file_io_fs
26,msync,ptrace,msync,x86_64_default,x86_64_default,memory
27,mincore,alarm,mincore,x86_64_default,x86_64_default,memory
33,dup2,access,dup2,x86_64_default,x86_64_default,file_io_fs
37,alarm,kill,alarm,x86_64_default,x86_64_default,other
38,setitimer,rename,setitimer,x86_64_default,x86_64_default,other
39,getpid,mkdir,getpid,x86_64_default,x86_64_default,process_thread
40,sendfile,rmdir,sendfile,x86_64_default,x86_64_default,other
41,socket,dup,socket,x86_64_default,x86_64_default,network_socket
42,connect,pipe,connect,x86_64_default,x86_64_default,network_socket
45,recvfrom,brk,recvfrom,x86_64_default,x86_64_default,network_socket
54,setsockopt,ioctl,setsockopt,x86_64_default,x86_64_default,network_socket
57,fork,setpgid,fork,x86_64_default,x86_64_default,process_thread
60,exit,umask,exit,x86_64_default,x86_64_default,process_thread
63,uname,dup2,uname,x86_64_default,x86_64_default,other
64,semget,getppid,semget,x86_64_default,x86_64_default,signal_ipc
66,semctl,setsid,semctl,x86_64_default,x86_64_default,signal_ipc
78,getdents,gettimeofday,getdents,x86_64_default,x86_64_default,file_io_fs
85,creat,readlink,creat,x86_64_default,x86_64_default,file_io_fs
91,fchmod,munmap,fchmod,x86_64_default,x86_64_default,permissions_identity
93,fchown,ftruncate,fchown,x86_64_default,x86_64_default,permissions_identity
94,lchown,fchmod,lchown,x86_64_default,x86_64_default,permissions_identity
96,gettimeofday,getpriority,gettimeofday,x86_64_default,x86_64_default,time_timer
97,getrlimit,setpriority,getrlimit,x86_64_default,x86_64_default,other
99,sysinfo,statfs,sysinfo,x86_64_default,x86_64_default,other
102,getuid,socketcall,getuid,x86_64_default,x86_64_default,permissions_identity
104,getgid,setitimer,getgid,x86_64_default,x86_64_default,permissions_identity
114,setregid,wait4,setregid,x86_64_default,x86_64_default,permissions_identity
117,setresuid,ipc,setresuid,x86_64_default,x86_64_default,permissions_identity
118,getresuid,fsync,getresuid,x86_64_default,x86_64_default,permissions_identity
119,setresgid,sigreturn,setresgid,x86_64_default,x86_64_default,permissions_identity
120,getresgid,clone,getresgid,x86_64_default,x86_64_default,permissions_identity
122,setfsuid,uname,setfsuid,x86_64_default,x86_64_default,permissions_identity
125,capget,mprotect,capget,x86_64_default,x86_64_default,permissions_identity
132,utime,getpgid,utime,x86_64_default,x86_64_default,time_timer
133,mknod,fchdir,mknod,x86_64_default,x86_64_default,file_io_fs
140,getpriority,_llseek,getpriority,x86_64_default,x86_64_default,other
141,setpriority,getdents,setpriority,x86_64_default,x86_64_default,other
142,sched_setparam,_newselect,sched_setparam,x86_64_default,x86_64_default,process_thread
144,sched_setscheduler,msync,sched_setscheduler,x86_64_default,x86_64_default,process_thread
146,sched_get_priority_max,writev,sched_get_priority_max,x86_64_default,x86_64_default,process_thread
150,munlock,mlock,munlock,x86_64_default,x86_64_default,memory
156,_sysctl,sched_setscheduler,_sysctl,x86_64_default,x86_64_default,other
162,sync,nanosleep,sync,x86_64_default,x86_64_default,file_io_fs
163,acct,mremap,acct,x86_64_default,x86_64_default,other
168,swapoff,poll,swapoff,x86_64_default,x86_64_default,other
172,iopl,prctl,iopl,x86_64_default,x86_64_default,other
173,ioperm,rt_sigreturn,ioperm,x86_64_default,x86_64_default,other
174,create_module,rt_sigaction,create_module,x86_64_default,x86_64_default,file_io_fs
175,init_module,rt_sigprocmask,init_module,x86_64_default,x86_64_default,other
179,quotactl,rt_sigsuspend,quotactl,x86_64_default,x86_64_default,other
180,nfsservctl,pread64,nfsservctl,x86_64_default,x86_64_default,other
181,getpmsg,pwrite64,getpmsg,x86_64_default,x86_64_default,other
183,afs_syscall,getcwd,afs_syscall,x86_64_default,x86_64_default,other
184,tuxcall,capget,tuxcall,x86_64_default,x86_64_default,other
185,security,capset,security,x86_64_default,x86_64_default,other
186,gettid,sigaltstack,gettid,x86_64_default,x86_64_default,process_thread
191,getxattr,ugetrlimit,getxattr,x86_64_default,x86_64_default,file_io_fs
192,lgetxattr,mmap2,lgetxattr,x86_64_default,x86_64_default,file_io_fs
194,listxattr,ftruncate64,listxattr,x86_64_default,x86_64_default,file_io_fs
195,llistxattr,stat64,llistxattr,x86_64_default,x86_64_default,file_io_fs
196,flistxattr,lstat64,flistxattr,x86_64_default,x86_64_default,file_io_fs
197,removexattr,fstat64,removexattr,x86_64_default,x86_64_default,file_io_fs
